0.0,0.5,50.0
0.1,0.5,55.0
0.3,0.5,60.0
-0.1,0.5,65.0
-0.9,0.5,69.9
-2.2,0.5,74.7
-4.0,0.5,79.4
-6.3,0.5,83.9
-9.0,0.5,88.1
-12.1,0.5,92.0
-14.1,0.5,96.5
-14.5,0.5,101.5
-13.3,0.5,106.4
-10.5,0.5,110.5
-6.6,0.5,113.6
-1.8,0.5,115.2
3.2,0.5,115.2
7.9,0.5,113.5
11.8,0.5,110.4
15.0,0.5,106.5
17.3,0.5,102.1
18.6,0.5,97.3
19.0,0.5,92.3
18.5,0.5,87.3
18.0,0.5,82.3
17.5,0.5,77.4
17.0,0.5,72.4
16.5,0.5,67.4
16.0,0.5,62.4
15.5,0.5,57.5
15.0,0.5,52.5
14.6,0.5,47.5
14.1,0.5,42.5
13.6,0.5,37.6
13.7,0.5,32.6
14.4,0.5,27.6
15.8,0.5,22.8
17.7,0.5,18.2
20.1,0.5,13.8
23.1,0.5,9.8
26.4,0.5,6.0
30.0,0.5,2.6
33.6,0.5,-0.9
37.3,0.5,-4.3
40.9,0.5,-7.7
44.5,0.5,-11.2
48.1,0.5,-14.6
51.7,0.5,-18.1
52.7,0.5,-23.0
50.7,0.5,-27.6
46.5,0.5,-30.2
41.7,0.5,-31.6
36.9,0.5,-33.0
32.1,0.5,-34.4
27.3,0.5,-35.8
22.3,0.5,-36.4
17.3,0.5,-36.1
12.5,0.5,-34.9
7.9,0.5,-32.9
3.7,0.5,-30.1
0.1,0.5,-26.7
-2.9,0.5,-22.7
-5.1,0.5,-18.2
-6.5,0.5,-13.4
-7.1,0.5,-8.4
-6.8,0.5,-3.4
-6.1,0.5,1.5
-5.4,0.5,6.5
-4.8,0.5,11.4
-4.1,0.5,16.4
-3.4,0.5,21.4
-2.8,0.5,26.3
-2.1,0.5,31.3
-1.5,0.5,36.2
-1.1,0.5,39.7
-0.8,0.5,43.1
-0.4,0.5,46.6
