46.7,0.5,50.0
46.8,0.5,55.0
47.0,0.5,60.0
46.6,0.5,65.0
45.8,0.5,69.9
44.5,0.5,74.7
42.7,0.5,79.4
40.4,0.5,83.9
37.7,0.5,88.1
34.6,0.5,92.0
32.6,0.5,96.5
32.2,0.5,101.5
33.4,0.5,106.4
36.2,0.5,110.5
40.1,0.5,113.6
44.9,0.5,115.2
49.9,0.5,115.2
54.6,0.5,113.5
58.5,0.5,110.4
61.7,0.5,106.5
64.0,0.5,102.1
65.3,0.5,97.3
65.7,0.5,92.3
65.2,0.5,87.3
64.7,0.5,82.3
64.2,0.5,77.4
63.7,0.5,72.4
63.2,0.5,67.4
62.7,0.5,62.4
62.2,0.5,57.5
61.7,0.5,52.5
61.3,0.5,47.5
60.8,0.5,42.5
60.3,0.5,37.6
60.4,0.5,32.6
61.1,0.5,27.6
62.5,0.5,22.8
64.4,0.5,18.2
66.8,0.5,13.8
69.8,0.5,9.8
73.1,0.5,6.0
76.7,0.5,2.6
80.3,0.5,-0.9
84.0,0.5,-4.3
87.6,0.5,-7.7
91.2,0.5,-11.2
94.8,0.5,-14.6
98.4,0.5,-18.1
99.4,0.5,-23.0
97.4,0.5,-27.6
93.2,0.5,-30.2
88.4,0.5,-31.6
83.6,0.5,-33.0
78.8,0.5,-34.4
74.0,0.5,-35.8
69.0,0.5,-36.4
64.0,0.5,-36.1
59.2,0.5,-34.9
54.6,0.5,-32.9
50.4,0.5,-30.1
46.8,0.5,-26.7
43.8,0.5,-22.7
41.6,0.5,-18.2
40.2,0.5,-13.4
39.6,0.5,-8.4
39.9,0.5,-3.4
40.6,0.5,1.5
41.3,0.5,6.5
41.9,0.5,11.4
42.6,0.5,16.4
43.3,0.5,21.4
43.9,0.5,26.3
44.6,0.5,31.3
45.2,0.5,36.2
45.6,0.5,39.7
45.9,0.5,43.1
46.3,0.5,46.6
